Source,Target,Weight,Type
2010s_drama_lady_bird_part_1,2010s_drama_lady_bird_part_2,25,undirected
2010s_drama_lady_bird_part_1,2010s_drama_lady_bird_part_3,15,undirected
2010s_drama_lady_bird_part_1,2010s_drama_lady_bird_part_4,12,undirected
2010s_drama_lady_bird_part_1,2010s_drama_lady_bird_part_5,5,undirected
2010s_drama_lady_bird_part_2,2010s_drama_lady_bird_part_1,25,undirected
2010s_drama_lady_bird_part_2,2010s_drama_lady_bird_part_3,29,undirected
2010s_drama_lady_bird_part_2,2010s_drama_lady_bird_part_4,16,undirected
2010s_drama_lady_bird_part_2,2010s_drama_lady_bird_part_5,20,undirected
2010s_drama_lady_bird_part_3,2010s_drama_lady_bird_part_1,15,undirected
2010s_drama_lady_bird_part_3,2010s_drama_lady_bird_part_2,29,undirected
2010s_drama_lady_bird_part_3,2010s_drama_lady_bird_part_4,10,undirected
2010s_drama_lady_bird_part_3,2010s_drama_lady_bird_part_5,14,undirected
2010s_drama_lady_bird_part_4,2010s_drama_lady_bird_part_1,12,undirected
2010s_drama_lady_bird_part_4,2010s_drama_lady_bird_part_2,16,undirected
2010s_drama_lady_bird_part_4,2010s_drama_lady_bird_part_3,10,undirected
2010s_drama_lady_bird_part_4,2010s_drama_lady_bird_part_5,4,undirected
2010s_drama_lady_bird_part_5,2010s_drama_lady_bird_part_1,5,undirected
2010s_drama_lady_bird_part_5,2010s_drama_lady_bird_part_2,20,undirected
2010s_drama_lady_bird_part_5,2010s_drama_lady_bird_part_3,14,undirected
2010s_drama_lady_bird_part_5,2010s_drama_lady_bird_part_4,4,undirected
2010s_drama_manchester_by_the_sea_part_1,2010s_drama_manchester_by_the_sea_part_2,19,undirected
2010s_drama_manchester_by_the_sea_part_1,2010s_drama_manchester_by_the_sea_part_3,18,undirected
2010s_drama_manchester_by_the_sea_part_1,2010s_drama_manchester_by_the_sea_part_4,5,undirected
2010s_drama_manchester_by_the_sea_part_1,2010s_drama_manchester_by_the_sea_part_5,16,undirected
2010s_drama_manchester_by_the_sea_part_2,2010s_drama_manchester_by_the_sea_part_1,19,undirected
2010s_drama_manchester_by_the_sea_part_2,2010s_drama_manchester_by_the_sea_part_3,4,undirected
2010s_drama_manchester_by_the_sea_part_2,2010s_drama_manchester_by_the_sea_part_4,13,undirected
2010s_drama_manchester_by_the_sea_part_2,2010s_drama_manchester_by_the_sea_part_5,10,undirected
