"2010s_drama_lady_bird_part_1" "2010s_drama_lady_bird_part_2" "2010s_drama_lady_bird_part_3" "2010s_drama_lady_bird_part_4" "2010s_drama_lady_bird_part_5" "2010s_drama_manchester_by_the_sea_part_1" "2010s_drama_manchester_by_the_sea_part_2" "2010s_drama_manchester_by_the_sea_part_3" "2010s_drama_manchester_by_the_sea_part_4" "2010s_drama_manchester_by_the_sea_part_5" "2010s_drama_marriage_story_part_1" "2010s_drama_marriage_story_part_2" "2010s_drama_marriage_story_part_3" "2010s_drama_marriage_story_part_4" "2010s_drama_marriage_story_part_5" "2010s_drama_moonlight_part_1" "2010s_drama_moonlight_part_2" "2010s_drama_moonlight_part_3" "2010s_drama_moonlight_part_4" "2010s_drama_moonlight_part_5" "2010s_drama_spotlight_part_1" "2010s_drama_spotlight_part_2" "2010s_drama_spotlight_part_3" "2010s_drama_spotlight_part_4" "2010s_drama_spotlight_part_5" "2010s_drug_beautiful_boy_part_1" "2010s_drug_beautiful_boy_part_2" "2010s_drug_beautiful_boy_part_3" "2010s_drug_beautiful_boy_part_4" "2010s_drug_beautiful_boy_part_5" "2010s_drug_ben_is_bაცკ_part_1" "2010s_drug_ben_is_bაცკ_part_2" "2010s_drug_ben_is_bაცკ_part_3" "2010s_drug_ben_is_bაცკ_part_4" "2010s_drug_ben_is_bაცკ_part_5" "2010s_drug_cherry_part_1" "2010s_drug_cherry_part_2" "2010s_drug_cherry_part_3" "2010s_drug_cherry_part_4" "2010s_drug_cherry_part_5" "2010s_drug_heaven_knows_what_part_1" "2010s_drug_heaven_knows_what_part_2" "2010s_drug_heaven_knows_what_part_3" "2010s_drug_heaven_knows_what_part_4" "2010s_drug_heaven_knows_what_part_5" "2010s_drug_the_fighter_part_1" "2010s_drug_the_fighter_part_2" "2010s_drug_the_fighter_part_3" "2010s_drug_the_fighter_part_4" "2010s_drug_the_fighter_part_5" "90s_drama_american_beauty_part_1" "90s_drama_american_beauty_part_2" "90s_drama_american_beauty_part_3" "90s_drama_american_beauty_part_4" "90s_drama_american_beauty_part_5" "90s_drama_american_history_x_part_1" "90s_drama_american_history_x_part_2" "90s_drama_american_history_x_part_3" "90s_drama_american_history_x_part_4" "90s_drama_american_history_x_part_5" "90s_drama_good_will_hunting_part_1" "90s_drama_good_will_hunting_part_2" "90s_drama_good_will_hunting_part_3" "90s_drama_good_will_hunting_part_4" "90s_drama_good_will_hunting_part_5" "90s_drama_philadelphia_part_1" "90s_drama_philadelphia_part_2" "90s_drama_philadelphia_part_3" "90s_drama_philadelphia_part_4" "90s_drama_philadelphia_part_5" "90s_drama_the_virgin_suicides_part_1" "90s_drama_the_virgin_suicides_part_2" "90s_drama_the_virgin_suicides_part_3" "90s_drama_the_virgin_suicides_part_4" "90s_drama_the_virgin_suicides_part_5" "90s_drug_fear_and_loathing_in_las_vegas_part_1" "90s_drug_fear_and_loathing_in_las_vegas_part_2" "90s_drug_fear_and_loathing_in_las_vegas_part_3" "90s_drug_fear_and_loathing_in_las_vegas_part_4" "90s_drug_fear_and_loathing_in_las_vegas_part_5" "90s_drug_gridlock_d_part_1" "90s_drug_gridlock_d_part_2" "90s_drug_gridlock_d_part_3" "90s_drug_gridlock_d_part_4" "90s_drug_gridlock_d_part_5" "90s_drug_requiem_for_a_dream_part_1" "90s_drug_requiem_for_a_dream_part_2" "90s_drug_requiem_for_a_dream_part_3" "90s_drug_requiem_for_a_dream_part_4" "90s_drug_requiem_for_a_dream_part_5" "90s_drug_the_basketball_diaries_part_1" "90s_drug_the_basketball_diaries_part_2" "90s_drug_the_basketball_diaries_part_3" "90s_drug_the_basketball_diaries_part_4" "90s_drug_the_basketball_diaries_part_5" "90s_drug_trainspotting_part_1" "90s_drug_trainspotting_part_2" "90s_drug_trainspotting_part_3" "90s_drug_trainspotting_part_4" "90s_drug_trainspotting_part_5"
"the" 3.08934038408016 2.83811178685201 2.99655263855741 2.42962962962963 2.81010502412716 3.66720146688059 4.60921843687375 4.17690417690418 2.92672028596962 3.10790107244474 3.43100890207715 2.63807174036819 3.20427236315087 3.0171600980577 3.32550153623712 5.2860246198407 4.96016448213827 4.6966235085047 4.27963849016481 5.90405904059041 4.42113921447666 2.97606659729448 4.05840669959201 4.27441761060056 4.56730769230769 3.54285714285714 3.05498981670061 3.42679127725857 3.47222222222222 4.04654853213436 2.7124773960217 1.27565169162507 2.602010644589 2.03370133643231 1.4722536806342 4.40910733646549 3.80569898642188 5.36754002911208 4.81433103190894 5.13524108192866 1.67735569807597 1.80813661476645 2.77090549233053 2.00702458605118 2.51798561151079 4.02173913043478 4.12934236399388 3.54808590102708 3.65924491771539 4.09231962761831 3.66478728856996 3.84116273033999 3.84818133895625 4.20004855547463 4.24090338770389 4.66237942122186 4.46971700608305 4.06403940886699 4.31034482758621 3.87481371087928 3.84070796460177 3.46797225622195 3.62251532602638 2.34806629834254 2.98507462686567 4.59086078639745 4.06772207563764 3.45577048467724 4.03733955659277 4.657712305026 5.63670026743468 4.88802756244617 5.35312640575799 6.18216139688532 6.06443461781428 6.28781331028522 6.33025456183825 6.27774254914394 4.19495635305529 7.03073181516692 2.19922380336352 2.16393442622951 1.95417789757412 3.30953926022064 4.48717948717949 4.86094881981771 4.09026798307475 3.2360097323601 5.23120037365717 3.45744680851064 2.56805341551104 2.83341475329751 3.23347598668569 2.74451097804391 2.37717908082409 4.15447630193095 5.40461583406369 4.88505747126437 4.4395724856125 4.18535127055306
"a" 2.08739215140551 1.99826238053866 1.45849907186423 1.62962962962963 1.53278455861482 2.13156085262434 1.20240480961924 1.69756533392897 1.31814119749777 1.59772379076384 2.57789317507418 2.27747200607326 2.09803547587259 1.98001131435037 2.42183264052051 2.96886314265025 2.85273708558211 2.28484386900228 2.57841573631047 2.74446494464945 2.94057166358215 2.95525494276795 3.09211939016534 2.56465056636033 2.48397435897436 2.4 3.14227524003491 2.35060889266497 3.16666666666667 2.43321872520497 1.68776371308017 1.99667221297837 1.65582495564755 1.45264381173736 0.962627406568516 2.58402602096133 2.75387263339071 2.20160116448326 2.46314610934876 2.80282242257938 0.986679822397632 1.80813661476645 1.03908955962395 0.95333667837431 1.49023638232271 2.30434782608696 1.573082805331 1.82072829131653 1.68441432720232 1.43522110162917 2.74218349564326 2.07630417856216 2.71481286241434 2.03932993445011 2.08281053952321 3.1005971520441 1.98360222163449 1.87192118226601 2.49546279491833 2.38450074515648 2.38938053097345 2.48878008975928 2.06204718558425 2.24940805051302 2.4938598148498 3.12433581296493 2.88038698328936 2.71680069550098 2.52042007001167 1.97140381282496 2.88006583007612 2.95004306632214 2.74403958614485 2.43039169419538 3.60075805432723 2.74416594641314 2.74836674926785 2.70555907841894 2.69156159068865 2.60888790625691 2.52263906856404 1.31147540983607 2.15633423180593 1.75210902011681 2.42165242165242 2.36036457116149 2.70333803479078 2.31143552311436 2.10182157870154 1.99468085106383 2.10580380071905 1.61211529066927 1.80694246314788 1.34730538922156 1.79609086106709 2.3990637799883 2.19106047326906 2.45559038662487 3.37078651685393 2.24215246636771
"i" 2.61619816309491 2.54850854329568 2.12145319543888 2.54814814814815 3.15072381493046 2.15448086179234 2.00400801603206 2.81438463256645 3.15013404825737 3.23922083606916 2.1513353115727 3.96659707724426 3.45222201029945 3.14916085234773 3.03632748960781 0.627564566739078 0.771010023130301 1.16780908860117 1.56831472620946 1.22232472324723 2.48817602303105 3.08012486992716 1.71784410564741 2.60739474246634 1.54246794871795 2.14285714285714 1.9493744544661 2.32228830359671 2.33333333333333 2.11584236974345 3.91802290536468 6.10094287298946 4.37610881135423 5.05520046484602 7.36126840317101 2.80086736537767 2.21839739912029 1.38282387190684 1.95932076880015 2.11681693453548 4.93339911198816 4.41988950276243 5.14596734289955 5.26843953838434 4.41932168550874 1.52173913043478 1.66047629451606 2.35760971055089 1.52952565343659 2.21101629169899 1.76832393644285 2.33584220088243 2.97838692672641 2.35494051954358 2.03262233375157 1.0335323840147 1.77201798466014 1.92118226600985 1.497277676951 1.51515151515152 1.82300884955752 2.08078335373317 2.60078023407022 3.92659826361484 2.64500283393161 1.33900106269926 1.84696569920844 1.58661160617257 2.17036172695449 1.45147313691508 0.761160255091545 0.710594315245478 1.57444894287 0.896649362907032 0.463255422194146 1.25324114088159 1.21649020049561 2.09258084971465 1.98836081474297 1.30444395312845 4.01034928848642 3.73770491803279 2.89757412398922 2.98507462686567 2.56410256410256 1.42556672119654 1.97461212976023 3.43065693430657 1.68145726296123 1.26329787234043 3.59527478171546 3.41963849535906 2.90061816452687 3.64271457085828 4.33174854727945 1.8724400234055 1.8697049371896 1.54127481713689 1.53466703206358 2.30194319880419
"you" 2.1987197328138 2.14306400231683 1.882789710952 2.72592592592593 2.5830258302583 2.33784093513637 2.20440881763527 2.14429305338396 3.46291331546023 2.84526154519589 1.52077151335312 2.58113494021636 2.78466526797635 2.41372807844616 3.01825411169348 1.73787110789283 1.85042405551272 2.31023102310231 2.28601807549176 1.31457564575646 1.99465350606621 2.53902185223725 1.84668241357097 2.07309254114127 1.14182692307692 1.05714285714286 1.74570846668606 1.84083828943642 2.30555555555556 1.50753768844221 3.91802290536468 4.38158624514698 4.61265523358959 5.46194073213248 5.7757644394111 1.17455728225515 1.64467393383056 1.40101892285298 1.38085463705915 1.92081536652293 7.05476073014307 5.27373179306881 6.13557644730331 5.97089814350226 4.41932168550874 1 1.68232466681232 2.17086834733894 1.12294288480155 1.60977501939488 1.84520758585341 1.99844277186608 2.60938323668951 2.1849963583394 2.45922208281054 0.987597611391824 2.35387463633959 2.33990147783251 2.40471869328494 2.0367610531545 1.75221238938053 2.73357813137495 3.19524428757199 3.57142857142857 3.32514641979974 1.40276301806589 1.84696569920844 2.04303412301674 2.54375729288215 2.25303292894281 0.596585064801481 0.559862187769165 1.05713000449843 0.802265219443134 0.379027163613392 1.3180639585134 1.62198693399414 1.88120904671317 1.77012609117362 1.81295600265311 3.49288486416559 3.80327868852459 3.97574123989218 3.30953926022064 2.99145299145299 1.89296564617901 1.64551010813352 2.31143552311436 1.7281644091546 1.3741134751773 4.41705187467899 3.8104543234001 5.08796956728483 5.03992015968064 4.80718436344427 2.01872440023405 1.1685655857435 1.20167189132706 1.56207180049329 1.97309417040359
"to" 2.05956025605344 1.99826238053866 1.72368072129409 2.45925925925926 2.18563724098779 1.35228054091222 1.22467156535293 1.31784677239223 1.72028596961573 2.07922959072007 2.09569732937685 2.44828240652875 2.84188441731833 2.75315858947765 2.0784384601482 2.0757904899831 1.87612438961706 2.00558517390201 1.80754917597023 1.66051660516605 2.2002878881349 1.93548387096774 1.93257461885334 2.3081855097243 2.02323717948718 2.14285714285714 2.41489671224905 2.01076182384594 2.25 2.3274266067178 1.20554550934298 1.99667221297837 1.65582495564755 1.97559558396281 2.43488108720272 2.15034333212866 2.92598967297762 2.3471615720524 2.20190334017541 2.43041944335555 3.25604341391219 2.4108488196886 2.67194458189015 2.2077270446563 1.79856115107914 1.71739130434783 1.8789600174787 1.82072829131653 1.70377541142304 1.78432893716059 1.99897488467453 1.94653516740202 2.53031101739589 2.23355183296917 1.83186951066499 2.09003215434084 1.87781010314732 1.92118226600985 2.29128856624319 2.13611525086935 2.19469026548673 2.12158302733578 2.11777819060004 2.46645619573796 2.55053844700548 2.91179596174283 2.17678100263852 2.782003912193 2.63710618436406 2.59965337954939 2.4480559555647 2.73471145564169 2.99145299145299 2.71354412458707 2.71636133922931 1.92307692307692 1.84726289704888 2.05030648911435 2.13385063045587 1.85717444174221 2.19922380336352 2.95081967213115 2.62803234501348 3.30953926022064 2.63532763532764 2.22014489366674 2.04513399153738 2.14111922141119 3.01261092947221 2.83687943262411 1.90035952747817 1.70981924767953 1.80694246314788 2.49500998003992 2.64131008980454 1.63838502047981 1.48992112182296 1.85475444096134 1.78130994793094 2.03288490284006
"and" 2.17088783746173 2.05618302924993 2.12145319543888 1.39259259259259 1.90178824865172 2.13156085262434 1.64773992429303 1.74223810587447 1.87667560321716 1.92602319982491 2.83753709198813 2.58113494021636 2.67022696929239 2.31944182538186 3.01825411169348 1.6413227130099 1.43921870984323 1.77710078700178 1.40882509303562 1.54520295202952 1.27493316882583 1.35275754422477 1.22396392527378 1.19683693096816 1.5224358974359 2.77142857142857 2.56037241780623 1.89747946757293 2.16666666666667 2.35387463633959 2.16998191681736 2.05213533000555 1.5966883500887 1.80127832655433 2.32163080407701 2.16841344416335 2.122776821572 1.85589519650655 3.19089382347453 2.56762054096433 0.986679822397632 1.00452034153692 0.98960910440376 1.15403913697943 1.43884892086331 1.39130434782609 1.3327507100721 1.5406162464986 1.1810261374637 1.76493405740884 2.05023065094823 2.18011938749027 1.8450184501845 2.20927409565429 2.7603513174404 3.33027101515848 2.93573128801904 2.88177339901478 3.26678765880218 3.32836562344759 2.33628318584071 1.42798857609139 2.00631618056846 1.42067876874507 2.07821651237483 1.25398512221041 1.38522427440633 2.17344055640078 1.26021003500583 1.40814558058925 2.32462456284715 2.13178294573643 2.24921277552856 1.69891458235017 1.78985049484102 1.98789974070873 1.59945933768867 1.56415134221095 1.43064985451018 1.45920848994031 1.09961190168176 0.918032786885246 1.41509433962264 1.62232316677482 0.997150997150997 2.66417387240009 2.98542548189939 2.7007299270073 2.5922466137319 2.70390070921986 0.770416024653313 1.07474352711285 1.1887779362815 0.848303393213573 1.10935023771791 2.48683440608543 2.95062810400234 2.89968652037618 2.52123869553302 2.21225710014948
"s" 1.66991372112441 1.91138140747176 2.36011667992575 2.28148148148148 1.93017314788533 2.17740087096035 3.27321309285237 2.6133571588117 2.32350312779267 2.53884876340556 2.5593471810089 2.20155627253748 1.67842838069807 2.35715632660758 2.00614494849087 1.47236302196476 1.77332305319969 1.32013201320132 1.80754917597023 1.91420664206642 2.50873946123792 2.41415192507804 2.36203564526519 2.26544133361829 2.12339743589744 2.02857142857143 1.68751818446319 1.69923534409516 1.69444444444444 1.69267389579476 2.4713682941531 2.71769273433167 2.42460082791248 2.20801859384079 1.86862967157418 1.73473075533068 1.33868808567604 1.32823871906841 1.82869938421347 1.70521364170913 1.23334977799704 2.4108488196886 1.88025729836715 2.55895634721525 1.84994861253854 2.60869565217391 2.4251693248853 1.86741363211951 2.49757986447241 2.15283165244375 1.76832393644285 2.15416558525824 1.76594623089088 2.06360767176499 1.98243412797992 1.42397795130914 1.71912192541656 1.55172413793103 1.67876588021779 1.24192747143567 1.78761061946903 1.77478580171359 1.91343117220881 1.5982636148382 2.11600226714529 2.10414452709883 1.86895338610378 1.9343620951967 1.61026837806301 1.77642980935875 1.50174861139683 1.35658914728682 1.55195681511471 2.26521944313355 1.38976626658244 1.25324114088159 1.35165577832845 1.03572183470725 1.62463627546072 0.928587220871103 2.19922380336352 1.90163934426229 2.2911051212938 1.03828682673589 1.56695156695157 2.43047440990886 2.18617771509168 2.28710462287105 2.14852872489491 2.14982269503546 2.41397021058038 1.95407914020518 2.1398002853067 2.29540918163673 1.47913365029054 1.22878876535986 2.27870289219982 1.85475444096134 1.39764318991505 1.52466367713004
"it" 1.61424993042026 1.7665797856936 1.37894457703527 1.95555555555556 1.70309395401646 1.2376804950722 1.04653751948341 1.89859280768372 0.98302055406613 1.57583716349311 1.59495548961424 2.33440880622509 1.85008582872401 1.81029605883462 1.82541116934755 0.724112961622013 0.925212027756361 0.913937547600914 1.46198830409357 1.15313653136531 1.21324285420522 1.58168574401665 1.30985613055615 1.04723231459714 1.5224358974359 1.42857142857143 1.71661332557463 1.78419711129992 1.25 1.48108965882042 2.41109101868596 2.77315585135885 2.36546422235364 2.61475886112725 1.81200453001132 1.40946873870618 1.16657104608912 0.946142649199418 0.933009889904833 1.01920815366523 1.3320177602368 3.06378704168759 2.02869866402771 2.00702458605118 1.2846865364851 0.739130434782609 0.72099628577671 1.19047619047619 1.10358180058083 0.833979829325058 0.896975909789851 0.960290682584999 1.42329994728519 1.238164603059 0.95357590966123 1.56178226917777 1.29595345146787 1.2807881773399 0.680580762250454 1.06805762543467 0.831858407079646 1.06079151366789 1.09604309864388 1.26282557221784 1.171358397884 0.913921360255048 1.07739665787159 0.782438600304282 1.09684947491249 0.931542461005199 0.576013166015223 0.753660637381568 0.562303193882141 1.36857008022652 1.05285323225942 0.734658599827139 0.833521063302546 1.09913337560769 1.21241513094083 0.729604244970153 1.8111254851229 1.11475409836066 2.02156334231806 2.20635950681376 0.925925925925926 1.58915634494041 1.43394452280207 1.11922141119221 1.35450723960766 0.975177304964539 1.90035952747817 1.61211529066927 1.94959581550166 2.94411177644711 1.69043845747491 1.84318314803979 1.48992112182296 1.38453500522466 1.58947656892299 1.67414050822123
"in" 1.44725855830782 0.926730379380249 0.769026783346592 0.977777777777778 1.24893556627874 1.10016044006418 0.823869962146515 1.20616484252848 1.09472743521001 1.26942438170278 1.40949554896142 1.2146517365724 1.60213618157543 1.39543654535169 1.13862280860293 1.20685493603669 1.33641737342585 1.01548616400102 1.27591706539075 1.31457564575646 1.08986222496401 1.33194588969823 1.22396392527378 1.13272066680915 1.04166666666667 1.11428571428571 1.10561536223451 1.24610591900312 1.5 1.37529754033325 0.663050030138638 0.499168053244592 0.709639266706091 0.813480534572923 0.679501698754247 1.49981929887965 1.72117039586919 1.6193595342067 1.1009516700877 1.78361426891415 0.838677849037987 0.753390256152687 1.2370113805047 0.802809834420472 0.565262076053443 1.02173913043478 1.13611535940572 1.35387488328665 1.23910939012585 1.18308766485648 1.23013839056894 1.47936672722554 1.13336847654191 1.5052197135227 1.32998745294856 1.2172714745062 1.37529754033325 1.10837438423645 1.15698729582577 1.19225037257824 0.973451327433628 1.20359037127703 1.00315809028423 0.769534333070245 1.07689401095787 1.31774707757705 1.16534740545295 1.30406433384047 1.09684947491249 1.40814558058925 1.70746759925941 1.59345391903531 1.59694107062528 1.34497404436055 2.08464939987366 1.44770959377701 1.68956972291057 1.41619108010991 1.23666343355965 1.34866239221755 0.452781371280724 0.918032786885246 0.943396226415094 0.9085009733939 1.35327635327635 1.05164758121056 1.08133521391631 1.02189781021898 0.934142923867352 1.24113475177305 0.821777092963534 0.830483634587201 0.951022349025202 0.848303393213573 0.898045430533545 1.3458162668227 1.66520595968449 1.14942528735632 1.31542888462592 1.13602391629297
"of" 1.02978012802672 0.897770055024616 1.00769026783347 1.15555555555556 0.851546977008232 0.710520284208114 0.823869962146515 0.781773509046236 0.558534405719392 0.547165681768439 1.18694362017804 0.967925602581135 0.896433339691017 0.792004525740147 1.08440267485993 1.49650012068549 2.03032639424313 2.00558517390201 1.86071238702818 2.14483394833948 1.25436973061896 0.811654526534859 1.65342495168563 1.02586022654413 1.16185897435897 1.22857142857143 0.960139656677335 0.849617672047579 0.916666666666667 1.34884951071145 0.843881856540084 1.05379922351636 0.709639266706091 0.987797791981406 0.226500566251416 1.44560896277557 1.16657104608912 1.27365356622999 1.08229147228961 0.764406115248922 0.592007893438579 0.703164239075841 0.49480455220188 0.602107375815354 0.668036998972251 0.673913043478261 0.764693030369238 0.816993464052288 0.755082284607938 0.756400310318076 1.23013839056894 1.03815208928108 1.1070110701107 1.18960912842923 1.25470514429109 1.01056499770326 1.00502512562814 1.25615763546798 0.725952813067151 1.1177347242921 1.30973451327434 1.16279069767442 1.00315809028423 0.887924230465667 0.869072359720385 1.8278427205101 1.47317502198769 1.58661160617257 1.35355892648775 1.53812824956672 1.46060481382432 1.29198966408269 1.57444894287 1.13260972156678 1.97936407664772 2.22558340535869 1.64451453029962 2.0291693088142 1.454898157129 1.92350210037586 0.905562742561449 1.18032786885246 0.876010781671159 1.23296560674886 0.783475783475784 1.07501752745969 1.45745181006112 0.754257907542579 0.934142923867352 1.01950354609929 1.43810991268618 1.12359550561798 1.33143128863528 1.59680638722555 0.792393026941363 1.78466939730837 1.34385042360502 1.30616509926855 1.53466703206358 1.16591928251121
